$L_{REGCOIL}$,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
4.761692130787246,4.190082714614495,3.8866742127149196,3.7916891212917143,3.9665164018575756,4.190082714614494,2.161805022103791
7.547741605574075,5.247260912038386,4.193974316351083,4.315954786322906,5.143382775453588,5.247260912038385,2.586142978921116
2.4050873566991586,1.2490588850171283,0.6476965976401934,1.233880780169786,0.9384411932296985,1.2490588850171291,0.5161794605727289
4.011236619034538,2.4212897854667474,1.5218787081571408,1.9135765345659785,2.0773316147532284,2.4212897854667466,1.1479826882583546
2.12989708918906,1.8193499028462221,1.3291166525230087,1.4867511712344357,1.684780607945024,1.8193499028462221,0.7615442886562036
2.7524928292604582,2.102341263749459,1.5278379223274072,1.7777262225750383,1.8442800298708828,2.102341263749459,0.9502529490942878
3.779912841578437,2.7313352351111244,1.7947194704331784,2.3697269365027234,2.4181850135526326,2.731335235111124,1.323326388027727
3.724826617674205,2.8885704246466086,1.9539969589643664,2.532719970241296,2.657905530351322,2.8885704246466095,1.3718917389248675
2.7397762826181964,2.110924217318054,1.3508817769074395,1.7843782232733467,1.8575903102924587,2.110924217318054,0.95318597306813
1.7135328051786316,1.4050926778457273,0.9527455901472152,1.073780166019415,1.2269453615070283,1.4050926778457273,0.5010140390386146
5.6314560940068885,2.080401293613762,1.2128677250961482,1.7671218418859338,1.5213391625459187,2.080401293613761,1.2377380049866358
3.7160637805981285,2.8230129741261205,2.353200606914195,2.558125975223062,2.5530737869910114,2.8230129741261214,1.3389267572390895
5.422207656926179,2.5732621646290363,1.5742892284884786,2.194055483517538,1.9272187942479022,2.5732621646290372,1.3765786495712664
4.083466250131325,2.6701016929539096,1.716572736934571,2.1116067956256686,2.402790733765653,2.670101692953909,1.2879990886326709
2.0762962830181944,1.289462581655857,0.947520980049381,1.0336529435880757,1.0226046788961454,1.289462581655857,0.5583718771246141
2.2160818499474564,1.7071667050973727,1.1441876278368472,1.4807092592740354,1.4987669411078102,1.7071667050973727,0.6902529810221015
7.418064966369541,4.777963157121581,3.3963052572033092,4.013478274832243,4.681021891129062,4.777963157121582,2.4213531735297664
2.631063045263051,2.1425470994568068,1.4329409229289054,1.8632610958900524,1.940253750505835,2.1425470994568063,0.9398369533368505
2.695235472729909,2.1035693276326435,1.5798761556796543,1.795943240189651,1.8650007970740983,2.1035693276326435,0.9351640790375718
1.9137478750440275,1.6315568904716395,1.1231254004028768,1.2831992042711093,1.5296994306928495,1.6315568904716393,0.5973935815718575
3.785206617903308,2.9454658794709427,2.472978623262887,2.607451893317661,2.7683234698182417,2.945465879470943,1.3429009475542177
5.6255853053706355,4.528238193783017,4.125955002860606,3.4802563336235623,3.6499346547161524,4.528238193783017,2.2454460262972336
3.5768957435367303,2.872550066578631,2.3645020116028213,2.5756133118134907,2.6112443358491477,2.8725500665786314,1.3796535808172639
2.738666829349637,2.114705899414384,1.362124556281698,1.7965764517438374,1.857377648399226,2.114705899414384,0.9475646170678043
2.972029981641651,2.1488670641343486,1.3053024543746357,1.8485312698748027,1.9117333972423185,2.1488670641343486,0.8802276068155402
1.9618316149293824,1.2883539991703172,0.8513671632474438,0.9820658342062402,1.1565609708492268,1.2883539991703172,0.4719178616544458
5.197701296597448,3.0105064666122603,2.2054532204010275,2.459929987834387,2.532905517830515,3.0105064666122603,1.4263278699739894
2.067893508524765,1.5478220348314382,0.9796389800618431,1.2442099755681701,1.3157066000702298,1.5478220348314382,0.6430827147250892
4.115894084698173,2.4363296660085623,1.4654841864334596,1.9015861692696383,2.080401484650891,2.4363296660085614,1.1815865406408796
7.277701232366133,4.743023581429334,4.172811394504876,3.9291350420279096,4.57650083821335,4.743023581429334,2.443330575529591
3.906401500060846,2.372770749509257,1.6903665618737356,1.9519877645650232,2.022067819506911,2.372770749509257,1.0718664044149973
27.251101984764876,15.558444362429634,13.116836861068268,14.398565485425216,13.484799551907695,15.558444362429634,8.540459216356712
3.0317773525735072,0.06771845976794436,0.08737004137565621,0.09952679589505153,0.04788822642531972,0.06771845976794434,0.031741322463159236
